Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,48.8,-88.4,0.0,top
C2,10uF,C_0603_1608Metric,59.0,-54.5375,180.0,top
C3,1uF,C_0603_1608Metric,59.0,-63.2,180.0,top
C4,1uF,C_0603_1608Metric,59.0,-68.8,180.0,top
C5,22uF,C_0603_1608Metric,59.0,-70.3,180.0,top
C6,4.7uF,C_0603_1608Metric,59.0,-85.2,180.0,top
C7,100nF,C_0402_1005Metric,216.4,-88.4,180.0,top
C8,10uF,C_0603_1608Metric,206.2,-54.5375,180.0,top
C9,1uF,C_0603_1608Metric,206.2,-63.2,180.0,top
C10,1uF,C_0603_1608Metric,206.2,-68.8,180.0,top
C11,22uF,C_0603_1608Metric,206.2,-70.3,180.0,top
C12,4.7uF,C_0603_1608Metric,206.2,-85.2,180.0,top
D1,1N4148,D_SOD-323,50.0,-45.2,0.0,top
D2,1N4148,D_SOD-323,50.0,-71.8,180.0,top
D3,1N4148,D_SOD-323,50.8,-88.8,-90.0,top
D4,1N4148,D_SOD-323,68.0,-45.2,0.0,top
D5,1N4148,D_SOD-323,68.0,-71.8,180.0,top
D6,1N4148,D_SOD-323,68.0,-88.8,180.0,top
D7,1N4148,D_SOD-323,86.0,-45.2,0.0,top
D8,1N4148,D_SOD-323,86.0,-71.8,180.0,top
D9,1N4148,D_SOD-323,86.0,-88.8,180.0,top
D10,1N4148,D_SOD-323,86.0,-105.8,180.0,top
D11,1N4148,D_SOD-323,104.0,-45.2,0.0,top
D12,1N4148,D_SOD-323,104.0,-71.8,180.0,top
D13,1N4148,D_SOD-323,104.0,-88.8,180.0,top
D14,1N4148,D_SOD-323,104.0,-105.8,180.0,top
D15,1N4148,D_SOD-323,122.0,-45.2,0.0,top
D16,1N4148,D_SOD-323,122.0,-71.8,180.0,top
D17,1N4148,D_SOD-323,122.0,-88.8,180.0,top
D18,1N4148,D_SOD-323,122.0,-105.8,180.0,top
D19,1N4148,D_SOD-323,59.0,-51.3375,180.0,top
D21,1N4148,D_SOD-323,215.199998,-45.2,0.0,top
D22,1N4148,D_SOD-323,215.2,-71.8,180.0,top
D23,1N4148,D_SOD-323,214.4,-88.755,90.0,top
D24,1N4148,D_SOD-323,197.199998,-45.2,0.0,top
D25,1N4148,D_SOD-323,197.2,-71.8,180.0,top
D26,1N4148,D_SOD-323,196.3,-88.755,90.0,top
D27,1N4148,D_SOD-323,179.199998,-45.2,0.0,top
D28,1N4148,D_SOD-323,179.2,-71.8,180.0,top
D29,1N4148,D_SOD-323,179.2,-88.8,180.0,top
D30,1N4148,D_SOD-323,179.2,-105.8,180.0,top
D31,1N4148,D_SOD-323,161.199998,-45.2,0.0,top
D32,1N4148,D_SOD-323,161.2,-71.8,180.0,top
D33,1N4148,D_SOD-323,161.2,-88.8,180.0,top
D34,1N4148,D_SOD-323,161.2,-105.8,180.0,top
D35,1N4148,D_SOD-323,143.199998,-45.2,0.0,top
D36,1N4148,D_SOD-323,143.2,-71.8,180.0,top
D37,1N4148,D_SOD-323,143.2,-88.8,180.0,top
D38,1N4148,D_SOD-323,143.2,-105.8,180.0,top
D39,1N4148,D_SOD-323,206.2,-51.3375,180.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB-C-C168688,45.31145,-97.50005,90.0,top
J3,USB_C_Receptacle_USB2.0_14P,USB-C-C168688,219.9,-97.50005,-90.0,top
P2,Breakoff,Panel_2x5,132.6,-101.95,90.0,top
Q1,AO3401A,SOT-23,59.0,-48.4375,90.0,top
Q2,AO3401A,SOT-23,206.2,-48.4375,90.0,top
R1,330,R_0402_1005Metric,48.8,-89.4,0.0,top
R2,5.1k,R_0402_1005Metric,50.1,-95.1,90.0,top
R3,5.1k,R_0402_1005Metric,50.1,-99.9,90.0,top
R4,22,R_0402_1005Metric,49.9,-92.6,90.0,top
R5,22,R_0402_1005Metric,50.9,-92.6,-90.0,top
R6,100k,R_0603_1608Metric,59.0,-53.0375,180.0,top
R7,10k,R_0603_1608Metric,59.0,-79.6,0.0,top
R8,2k,R_0603_1608Metric,59.0,-86.7,0.0,top
R9,2m,R_0402_1005Metric,63.7,-107.5,0.0,top
R10,820k,R_0402_1005Metric,61.7,-107.5,0.0,top
R11,330,R_0402_1005Metric,216.4,-89.4,180.0,top
R12,5.1k,R_0402_1005Metric,215.1,-99.9,-90.0,top
R13,5.1k,R_0402_1005Metric,215.1,-95.1,-90.0,top
R14,22,R_0402_1005Metric,214.3,-92.6,90.0,top
R15,22,R_0402_1005Metric,215.3,-92.6,-90.0,top
R16,100k,R_0603_1608Metric,206.2,-53.0375,180.0,top
R17,10k,R_0603_1608Metric,206.2,-79.6,0.0,top
R18,2k,R_0603_1608Metric,206.2,-86.7,0.0,top
R19,820k,R_0402_1005Metric,198.2,-88.4,0.0,top
R20,2m,R_0402_1005Metric,198.2,-89.4,180.0,top
SW19,MINI MSK12CO2,SW_SPDT_MSKT_12C0,49.7,-108.0,0.0,top
SW20,SKTAACE010,SKTAACE010,66.8,-107.7,180.0,top
SW39,MINI MSK12CO2,SW_SPDT_MSKT_12C0,215.5,-108.0,0.0,top
SW40,SKTAACE010,SKTAACE010,198.4,-107.7,180.0,top
U2,MCP73831-2-OT,SOT-23-5,59.0,-82.4,90.0,top
U3,TPS7A0333PDBV,SOT-23-5,59.0,-66.0,-90.0,top
U5,TPS7A0333PDBV,SOT-23-5,206.2,-66.0,-90.0,top
U6,MCP73831-2-OT,SOT-23-5,206.2,-82.4,90.0,top
